Kartka z Areny - informacje o bieżących potrzebach,,
,,
,,Ostatnia aktualizacja
,,01/04/2022 14:12
PRZEDMIOT,Brakuje,Priorytet
kubeczki do ciepłych napojów plastikowe/papierowe,450 szt,1. Pilnie potrzebne
powerbanki i ładowarki,20 szt.,1. Pilnie potrzebne
smartfony używane ,5 szt.,1. Pilnie potrzebne
ładowarki USB-C,15 szt,1. Pilnie potrzebne
winogrona,4 kg,2. Potrzebne
pomidory,3 kg,2. Potrzebne
plecaki duże,3 szt.,2. Potrzebne
żel do mycia twarzy  50-100ml,10 szt.,2. Potrzebne
płyn micelar małe małe opak 50-100ml,14 szt.,2. Potrzebne
"bielizna damska (majtki/ koszulki) - różne rozmiary, w tym duże",6 szt.,2. Potrzebne
bielizna męska (majtki/koszulki) nowe,16 szt.,2. Potrzebne
rajstopy damskie  - różne rozmiary,2 szt.,2. Potrzebne
notatnik z długopisem zestaw,15 szt.,2. Potrzebne
odżywki do włosów travel size 30-50ml,6 szt.,2. Potrzebne
szampon do włosów travel size 30-50ml,12 szt.,2. Potrzebne
kurtki WIOSENNE,4 szt,2. Potrzebne
kefir/jogurt naturalny pitny,0 szt.,3. Mamy wystarczająco
jogurt pitny różne rodzaje,0 szt.,3. Mamy wystarczająco
soczki małe z rurką,0 szt.,3. Mamy wystarczająco
soczki małe z dziubkiem,0 szt,3. Mamy wystarczająco
soki owocowe litrowe,0 szt.,3. Mamy wystarczająco
herbata owocowa różne rodzaje,0 szt,3. Mamy wystarczająco
kawa rozpuszczalna+inka,0 szt.,3. Mamy wystarczająco
kawa mielona 250g,0 szt.,3. Mamy wystarczająco
kakao rozpuszczalne + czekolada rozpuszczalna,0 szt.,3. Mamy wystarczająco
chleb krojony (nie tostowy!),0 szt.,3. Mamy wystarczająco
kabanosy małe opakowania,0 szt.,3. Mamy wystarczająco
parówki małe opakowania,0 szt.,3. Mamy wystarczająco
wędlina/kiełbasa krojona paczkowana,0 szt.,3. Mamy wystarczająco
ser żółty krojony paczkowany,-1 szt,3. Mamy wystarczająco
mandarynki,0 kg,3. Mamy wystarczająco
ogórki świeże,0 szt,3. Mamy wystarczająco
papryka czerwona,0 kg,3. Mamy wystarczająco
marchewki gotowe do zjedzenia w opakowaniach,0 szt,3. Mamy wystarczająco
"płatki śnaidaniowe, owsiane, różne rodzaje",0 szt,3. Mamy wystarczająco
dżem,0 szt,3. Mamy wystarczająco
cukier 1 kg,0 kg,3. Mamy wystarczająco
ketchup łagodny,0 sz,3. Mamy wystarczająco
musztarda,0 szt,3. Mamy wystarczająco
batoniki rózne rodzaje/cukierki/małe czekoladki (pakowane oddzielnie),0 szt.,3. Mamy wystarczająco
talerzyki plastikowe małe,0 szt,3. Mamy wystarczająco
pojemniki dwu i trójdzielne do wydawania ciepłych posiłków,0 szt,3. Mamy wystarczająco
owsianka błyskawiczna kg (lub 20 porcjowanych),0 szt,3. Mamy wystarczająco
sałata,0 szt,3. Mamy wystarczająco
kawa mielona 500g,0 szt,3. Mamy wystarczająco
lusterka małe ,-1 szt.,3. Mamy wystarczająco
kosmetyczki małe nowe/używane w st. bdb.,0 szt.,3. Mamy wystarczająco
wielorazowe torby na zakupy,0 szt.,3. Mamy wystarczająco
baterie paluszki AAA,-30 szt.,3. Mamy wystarczająco
klapki wielorazowe Damskie różne rozm. 36-41,-5 par.,3. Mamy wystarczająco
patyczki do uszu ,0 opak.,3. Mamy wystarczająco
przewijaki,0 szt.,3. Mamy wystarczająco
szczotki do włosów /grzebienie,-8 szt.,3. Mamy wystarczająco
gąbki do mycia ,-5 szt.,3. Mamy wystarczająco
podpaski/tampony/- różny poziom chłonności ,0 szt.,3. Mamy wystarczająco
dezodoranty męskie/damskie travel size,-7 szt.,3. Mamy wystarczająco
szampony 150-500ml,-9 szt.,3. Mamy wystarczająco
płyn do higieny intymnej małe 20-50ml,0 szt.,3. Mamy wystarczająco
klapki jednorazowe p. prysznic,0 par.,3. Mamy wystarczająco
leginsy damskie ,0 szt.,3. Mamy wystarczająco
sudocrem 30ml,-1 szt.,3. Mamy wystarczająco
krem/ puder do pupy dla dzieci,0 szt.,3. Mamy wystarczająco
worki na śmieci 120L,0 opak.,3. Mamy wystarczająco
worki na smieci 35L,0 opak.,3. Mamy wystarczająco
worki na smieci 60L,0 opak.,3. Mamy wystarczająco
chusteczki do demakijażu,0 szt.,3. Mamy wystarczająco
podkładki dla dzieci/ dorosłych Seni,-8 szt.,3. Mamy wystarczająco
pieluchomajtki dla dorosłych M-L ,0 szt.,3. Mamy wystarczająco
chusteczki higieniczne małe opak.,0 szt.,3. Mamy wystarczająco
pasty do zębów dla dorosłych (małe opak.),0 szt.,3. Mamy wystarczająco
papier toaletowy /rolki,0 szt.,3. Mamy wystarczająco
papier toaletowy szary /rolki do dyspenserów łaz.,0 szt.,3. Mamy wystarczająco
"żel antybakteryjny 400ml, 500ml",0 szt.,3. Mamy wystarczająco
płyn antybakteryjny 5L,0 szt.,3. Mamy wystarczająco
klapki wielorazowe Męskie różne rozm. 41-46,0 par.,3. Mamy wystarczająco
klapki wielorazowe Dzieci różne rozm. 23-35,-4 par.,3. Mamy wystarczająco
waciki do demakijażu,0 opak.,3. Mamy wystarczająco
baterie paluszki AA,-1 ,3. Mamy wystarczająco
Walizki na kółkach nowe/ stan bdb.,0 szt,3. Mamy wystarczająco
zmywacz do paznokci,0 szt.,3. Mamy wystarczająco
żel pod prysznic 35  ml,0 szt.,3. Mamy wystarczająco
szczoteczki do zębów + pasta 3 gr,0 szt.,3. Mamy wystarczająco
karma dla kotów,0 kg,3. Mamy wystarczająco
zmywaki-gąbki,0 szt,3. Mamy wystarczająco
małe poduszki,0 szt,3. Mamy wystarczająco
duże poduszki,0 szt,3. Mamy wystarczająco
nożyczki do paznokci,0 szt,3. Mamy wystarczająco
wkładki laktacyjne,-1 szt,3. Mamy wystarczająco
mleko 1L,-20 szt.,4. Mamy nadmiar
"woda w małych butelkach, w tym z dziubkiem",-50 szt.,4. Mamy nadmiar
duże baniaki z wodą (eden),-13 szt.,4. Mamy nadmiar
herbata czarna,-10 szt.,4. Mamy nadmiar
"herbata melisa i inne zioła (np. mięta, rumianek), herbata zielon",-10 szt.,4. Mamy nadmiar
chleb tostowy,-5 szt.,4. Mamy nadmiar
jabłka,-5 kg,4. Mamy nadmiar
banany,-2 kg,4. Mamy nadmiar
ogórki kiszone w wiaderkach małych,-3 szt,4. Mamy nadmiar
słoiczki dla dzieci- obiadki różne,-80 szt,4. Mamy nadmiar
słoiczki dla dzieci- deserki różne,-30 szt,4. Mamy nadmiar
tubki owocowe różne (nielodówkowe),-30 szt,4. Mamy nadmiar
kaszki dla dzieci/kleiki do samodzielnego przygotowania,-30 szt,4. Mamy nadmiar
"sól 0,5 kg",-1 szt,4. Mamy nadmiar
pieprz mała torebka,-2 szt,4. Mamy nadmiar
żelki w małych opakowaniach/guma rozpuszczalna (mikroporcje pakowane oddzielnie),-17 szt,4. Mamy nadmiar
drożdżówki/pączki/ maślane bułki,-70 szt,4. Mamy nadmiar
talerzyki plastikowe duże,-2750 szt,4. Mamy nadmiar
widelce plastikowe,-2200 szt,4. Mamy nadmiar
łyżki duże plastikowe,-7250 szt,4. Mamy nadmiar
łyżeczki plastikowe,-250 szt,4. Mamy nadmiar
noże plastikowe,-992 szt,4. Mamy nadmiar
talerze głebokie plastikowe do wydawania ciepłych posiłków,-7637 szt,4. Mamy nadmiar
kubeczki do zimnych napojów plastikowe,-4100 szt,4. Mamy nadmiar
miseczki plastikowe (nie do ciepłych posiłków),-156 szt,4. Mamy nadmiar
miski papierowe do wydawania ciepłych posiłków,-5620 szt,4. Mamy nadmiar
torby miękkie podróżne nowe/ stan bdb.,-6 szt.,4. Mamy nadmiar
worki na śmieci 240L-400L,-10 opak.,4. Mamy nadmiar
"biustonosze różne rozmiary nowe, 75 B-90 D",-25 szt.,4. Mamy nadmiar
maszynki jednorazowe do golenia damskie,-34 szt.,4. Mamy nadmiar
ręczniki duże kąpielowe,-150 szt.,4. Mamy nadmiar
koce dodatkowe,-5 szt.,4. Mamy nadmiar
pilniki do paznokci,-30 szt.,4. Mamy nadmiar
gumki do włosów / spinki typu wsuwki,-16 szt.,4. Mamy nadmiar
stopery do uszu/opaski na oczy,-6500 szt.,4. Mamy nadmiar
obcinacze do paznokci,-32 szt.,4. Mamy nadmiar
maseczki jednorazowe,-4000 szt.,4. Mamy nadmiar
pomadki do ust/wazelina,-20 szt.,4. Mamy nadmiar
kremy nawilżające do twarzy 15-30ml,-30 szt.,4. Mamy nadmiar
balsamy do ciała travel size 20-50ml,-400 szt.,4. Mamy nadmiar
kremy do rąk małe 30ml,-152 szt.,4. Mamy nadmiar
mydło w kostce,-120 szt.,4. Mamy nadmiar
maszynki jednorazowe do golenia męskie,-32 szt.,4. Mamy nadmiar
bielizna dziecięca (majtki/koszulki) nowe,-16 szt.,4. Mamy nadmiar
szczoteczki do zębów dla dzieci,-159 szt.,4. Mamy nadmiar
pasty do zębów dla dzieci,-41 szt.,4. Mamy nadmiar
chusteczki mokre dla dzieci,-5000 szt.,4. Mamy nadmiar
